shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
YELLOW,39.5076623,-84.72147703,47,4.459
YELLOW,39.5066193,-84.72144485,48,4.57501
YELLOW,39.50768714,-84.72146094,49,4.69376
YELLOW,39.50762091,-84.72481906,50,4.98195
YELLOW,39.50768714,-84.72819865,51,5.27198
YELLOW,39.5077368,-84.73067701,52,5.48467
YELLOW,39.50715736,-84.73073602,53,5.5493
YELLOW,39.50724428,-84.73281473,54,5.7279
YELLOW,39.50729187,-84.73299712,55,5.74442
YELLOW,39.50729187,-84.73457694,56,5.87996
YELLOW,39.50731464,-84.73531455,57,5.94329
YELLOW,39.50729808,-84.73618358,58,6.01787
YELLOW,39.50731464,-84.7374469,59,6.12626
YELLOW,39.50730015,-84.73929226,60,6.28459
YELLOW,39.5072898,-84.74092305,61,6.4245
YELLOW,39.50733326,-84.74169016,62,6.49049
YELLOW,39.507385,-84.74250823,63,6.56091
YELLOW,39.50742225,-84.74413097,64,6.70019
YELLOW,39.50744294,-84.74565715,65,6.83114
YELLOW,39.50744915,-84.74661469,66,6.91329
YELLOW,39.50746364,-84.74729866,67,6.97199
YELLOW,39.5074595,-84.74788874,68,7.02262
YELLOW,39.50745743,-84.74853247,69,7.07785
YELLOW,39.50745122,-84.74936396,70,7.14919
YELLOW,39.50775336,-84.75030541,71,7.23666
YELLOW,39.50796858,-84.75095183,72,7.29706
YELLOW,39.50793961,-84.75261748,73,7.44
YELLOW,39.50622196,-84.75267649,74,7.63106
YELLOW,39.50599018,-84.75268722,75,7.65685
YELLOW,39.5049513,-84.75271136,76,7.77238
YELLOW,39.50493681,-84.75190669,77,7.84144
RED1,39.50493681,-84.75190669,1,0
RED1,39.5049513,-84.75271136,2,0.0690545
RED1,39.50621783,-84.75267917,3,0.209913
RED1,39.50737051,-84.75261748,4,0.338195
RED1,39.50794168,-84.75261211,5,0.401707
RED1,39.50796651,-84.75095719,6,0.543712
RED1,39.50745329,-84.74936396,7,0.691832
RED1,39.50745536,-84.74853918,8,0.762591
RED1,39.50746467,-84.74774256,9,0.830942
RED1,39.50745846,-84.7471337,10,0.883182
RED1,39.50744605,-84.74659458,11,0.929455
RED1,39.50744087,-84.74565715,12,1.00988
RED1,39.50742328,-84.74471033,13,1.09113
RED1,39.50741397,-84.74411085,14,1.14257
RED1,39.50740155,-84.74348858,15,1.19598
RED1,39.50740155,-84.74318549,16,1.22198
RED1,39.50739535,-84.74301383,17,1.23672
RED1,39.50738189,-84.74250689,18,1.28024
RED1,39.50734361,-84.74190339,19,1.33219
RED1,39.50729291,-84.74093243,20,1.41568
RED1,39.50729705,-84.7402592,21,1.47344
RED1,39.50729912,-84.73954037,22,1.53511
RED1,39.50730326,-84.73896101,23,1.58482
RED1,39.50730533,-84.73805577,24,1.66248
RED1,39.50730946,-84.73745629,25,1.71391
RED1,39.5073017,-84.7366751,26,1.78094
RED1,39.50729808,-84.73633111,27,1.81045
RED1,39.50729808,-84.73616213,28,1.82495
RED1,39.50730326,-84.73578125,29,1.85763
RED1,39.5073136,-84.73530583,30,1.89843
RED1,39.50729808,-84.73480292,31,1.94161
RED1,39.50728929,-84.73457426,32,1.96125
RED1,39.50729136,-84.73412901,33,1.99945
RED1,39.50729084,-84.73360732,34,2.04421
RED1,39.50729084,-84.73299913,35,2.09639
RED1,39.50727687,-84.73274499,36,2.11825
RED1,39.50725928,-84.73241977,37,2.14622
RED1,39.5072391,-84.73205701,38,2.17742
RED1,39.50720547,-84.73143272,39,2.23111
RED1,39.50719461,-84.7312443,40,2.24732
RED1,39.5071734,-84.73087817,41,2.27882
RED1,39.50716253,-84.73067164,42,2.29658
RED1,39.50771507,-84.73067567,43,2.35802
RED1,39.50879841,-84.73068237,44,2.47848
RED1,39.50953304,-84.73066092,45,2.56019
RED1,39.51032354,-84.7306636,46,2.64809
RED1,39.51038148,-84.73192692,47,2.75666
RED1,39.51040217,-84.73350137,48,2.89174
RED1,39.51043528,-84.73619431,49,3.1228
RED1,39.5104477,-84.73770976,50,3.25281
RED1,39.51046632,-84.73924935,51,3.3849
RED1,39.51046839,-84.7408399,52,3.52135
RED1,39.51050978,-84.74169016,53,3.59444
RED1,39.51050564,-84.74245727,54,3.66025
RED1,39.50923919,-84.74248409,55,3.80109
RED1,39.50787545,-84.74250019,56,3.95274
RED1,39.50738086,-84.74250287,57,4.00774
RED1,39.50673726,-84.74251628,58,4.07931
RED1,39.50577082,-84.74252701,59,4.18678
RED1,39.50505891,-84.74254042,60,4.26595
RED1,39.50456637,-84.74254042,61,4.32072
RED1,39.50434493,-84.74255383,62,4.34537
RED1,39.50394758,-84.74257261,63,4.38958
RED1,39.50339294,-84.74260747,64,4.45132
RED1,39.50285071,-84.74261284,65,4.51162
RED1,39.50258787,-84.74261016,66,4.54085
RED1,39.50204771,-84.74262893,67,4.60093
RED1,39.50167725,-84.7426343,68,4.64213
RED1,39.50107706,-84.74266112,69,4.7089
RED1,39.50060726,-84.74267721,70,4.76116
RED1,39.50062174,-84.74423826,71,4.89511
RED1,39.50064244,-84.74575371,72,5.02516
RED1,39.50170623,-84.74575639,73,5.14344
RED1,39.50319219,-84.74573225,74,5.30869
RED1,39.50379857,-84.74570006,75,5.37617
RED1,39.50405519,-84.74568665,76,5.40473
RED1,39.50416488,-84.74792629,77,5.59727
RED1,39.5041835,-84.74857807,78,5.65322
RED1,39.50422282,-84.74939078,79,5.72309
RED1,39.50468433,-84.74941224,80,5.77444
RED1,39.50493578,-84.7494176,81,5.8024
RED1,39.50493888,-84.75017801,82,5.86764
RED1,39.50493681,-84.75078821,83,5.91999
RED1,39.50493474,-84.75104839,84,5.94232
RED1,39.50493836,-84.75139305,85,5.97189
RED1,39.50493629,-84.75193888,86,6.01872
RED1,39.50494302,-84.75236535,87,6.05532
RED1,39.50494716,-84.75254372,88,6.07063
RED2,39.50493681,-84.75190669,1,0
RED2,39.5049513,-84.75271136,2,0.0690545
RED2,39.50621783,-84.75267917,3,0.209913
RED2,39.50737051,-84.75261748,4,0.338195
RED2,39.50794168,-84.75261211,5,0.401707
RED2,39.50796651,-84.75095719,6,0.543712
RED2,39.50745329,-84.74936396,7,0.691832
RED2,39.50745536,-84.74853918,8,0.762591
RED2,39.50746467,-84.74774256,9,0.830942
RED2,39.50745846,-84.7471337,10,0.883182
RED2,39.50744605,-84.74659458,11,0.929455
RED2,39.50744087,-84.74565715,12,1.00988
RED2,39.50742328,-84.74471033,13,1.09113
RED2,39.50741397,-84.74411085,14,1.14257
RED2,39.50740155,-84.74348858,15,1.19598
RED2,39.50740155,-84.74318549,16,1.22198
RED2,39.50739535,-84.74301383,17,1.23672
RED2,39.50738189,-84.74250689,18,1.28024
RED2,39.50734361,-84.74190339,19,1.33219
RED2,39.50729291,-84.74093243,20,1.41568
RED2,39.50729705,-84.7402592,21,1.47344
RED2,39.50729912,-84.73954037,22,1.53511
RED2,39.50730326,-84.73896101,23,1.58482
RED2,39.50730533,-84.73805577,24,1.66248
RED2,39.50730946,-84.73745629,25,1.71391
RED2,39.5073017,-84.7366751,26,1.78094
RED2,39.50729808,-84.73633111,27,1.81045
RED2,39.50729808,-84.73616213,28,1.82495
RED2,39.50730326,-84.73578125,29,1.85763
RED2,39.5073136,-84.73530583,30,1.89843
RED2,39.50729808,-84.73480292,31,1.94161
RED2,39.50728929,-84.73457426,32,1.96125
RED2,39.50729136,-84.73412901,33,1.99945
RED2,39.50729084,-84.73360732,34,2.04421
RED2,39.50729084,-84.73299913,35,2.09639
RED2,39.50727687,-84.73274499,36,2.11825
RED2,39.50725928,-84.73241977,37,2.14622
RED2,39.5072391,-84.73205701,38,2.17742
RED2,39.50720547,-84.73143272,39,2.23111
RED2,39.50719461,-84.7312443,40,2.24732
RED2,39.5071734,-84.73087817,41,2.27882
RED2,39.50716253,-84.73067164,42,2.29658
RED2,39.50771507,-84.73067567,43,2.35802
RED2,39.50771611,-84.72919643,44,2.48492
RED2,39.50791477,-84.72895503,45,2.5152
RED2,39.50793133,-84.72778827,46,2.61532
RED2,39.50926195,-84.72775072,47,2.76331
RED2,39.51027387,-84.7277534,48,2.87583
RED2,39.51031112,-84.72982675,49,3.05375
RED2,39.51038148,-84.73192692,50,3.23409
RED2,39.51040217,-84.73350137,51,3.36918
RED2,39.51043528,-84.73619431,52,3.60023
RED2,39.5104477,-84.73770976,53,3.73024
RED2,39.51046632,-84.73924935,54,3.86234
RED2,39.51046839,-84.7408399,55,3.99879
